Id,SalePrice
1461,126527.47231211956
1462,156424.25681320252
1463,185254.8395067856
1464,194725.85769900313
1465,193263.5501959811
1466,173208.05747544565
1467,177465.88635276214
1468,165092.11276407435
1469,182133.7485000383
1470,126097.7392262419
1471,192498.38142923499
1472,97476.79359136432
1473,97975.53447125554
1474,145521.03739946074
1475,112063.01974777628
1476,369965.25020287064
1477,249735.76446319954
1478,283072.44984405517
1479,282008.6936208562
1480,484507.35388392507
1481,320669.4306902475
1482,209261.890674881
1483,179535.3281280067
1484,163687.72948017737
1485,190846.28390227043
1486,194983.20140786347
1487,340406.9667471469
1488,232718.18260490306
1489,202313.37048060168
1490,233823.33741000333
1491,194248.07347671315
1492,93223.71503254266
1493,176245.27157549988
1494,298459.1470292747
1495,288691.540384939
1496,245305.60116423204
1497,182653.7595276511
1498,169714.303405363
1499,162937.29447172457
1500,159075.08211245842
1501,178606.92112441538
1502,145754.49851325905
1503,285184.38025154604
1504,242358.67043904145
1505,228171.90415154697
1506,191706.59406932406
1507,254847.89510539797
1508,206544.4579097586
1509,162719.4107466497
1510,149974.03053975853
1511,147269.96172356195
1512,175547.17936596874
1513,140031.08090167883
1514,161002.57125578893
1515,197352.56571945932
1516,160452.1072034158
1517,164120.9181407011
1518,134865.62945393805
1519,221498.06655577137
1520,131716.49387950607
1521,134157.83406377776
1522,178394.32741710328
1523,113234.81744065964
1524,131495.17505984186
1525,124924.25086827668
1526,113515.51404889353
1527,107841.51352226696
1528,145392.96201012103
1529,152554.41296415744
1530,170794.616992152
1531,99732.10736246883
1532,89446.95866686988
1533,152896.45507142233
1534,126244.35050304476
1535,151874.94282288657
1536,108197.60926076813
1537,57034.80506061075
1538,147306.80150134367
1539,199907.49941729984
1540,88391.26134709072
1541,141960.03006894444
1542,141855.86873707548
1543,203027.22238091793
1544,83742.28708937869
1545,111680.45255023001
1546,136355.10410862314
1547,135632.08975348147
1548,141298.60860912455
1549,117794.71167881042
1550,137290.87270930497
1551,109356.15543005346
1552,134798.06590641718
1553,155822.40893153416
1554,116272.26938997307
1555,165266.84207278286
1556,88001.93199407331
1557,99656.85857060301
1558,101376.26150713506
1559,67094.35183082259
1560,130547.38065280774
1561,148603.98067931744
1562,127532.03936446432
1563,121013.32867042109
1564,153265.28154353538
1565,149382.60714749745
1566,237096.3983044046
1567,74529.49785098052
1568,238195.60470577164
1569,129019.39091229122
1570,141284.5841850671
1571,125624.45222800146
1572,144056.8405360172
1573,216100.3229716395
1574,116451.92896730958
1575,213561.31921923277
1576,243683.2587348575
1577,190863.11614563127
1578,146837.56123289219
1579,145441.42010486696
1580,193623.17292212576
1581,153319.16132882657
1582,128806.76552477849
1583,313283.8718015772
1584,224099.44987243178
1585,140427.2473023467
1586,65260.32388557694
1587,97555.7398819277
1588,151052.00105007945
1589,96036.98599842105
1590,133536.49199891966
1591,93793.9992813084
1592,115011.96893503905
1593,130065.6931228819
1594,122700.29358553585
1595,109410.43734715521
1596,235215.03020276118
1597,192638.39097926472
1598,225644.93073958272
1599,164482.59145205352
1600,164896.941395984
1601,69992.18934617715
1602,121728.46276374068
1603,74634.84242208382
1604,241326.94577184223
1605,242917.09250854177
1606,172312.47083346854
1607,164452.1751239186
1608,218982.99274307158
1609,185734.8301729288
1610,155544.0134007838
1611,137208.38465021946
1612,169702.44105248287
1613,164748.54435044195
1614,119699.33403222579
1615,86521.10273365513
1616,72957.0467265445
1617,91509.22165706087
1618,123024.21634913122
1619,143288.956320203
1620,158318.69062227925
1621,142007.07367744637
1622,140521.02563847206
1623,265739.81612712
1624,210446.2033911802
1625,116347.96945999537
1626,168813.96876638875
1627,189547.98302392339
1628,270453.17898052535
1629,179505.64083812217
1630,359889.3837044945
1631,232632.99851358408
1632,239601.66441115938
1633,172167.89885134407
